community areas;ZIP Codes;latitude;longitude
Rogers Park;60626,60645;42.010636;-87.669553
West Ridge;60645,60659;42.000000;-87.690000
Uptown;60613,60640;41.970000;-87.660000
Lincoln Square;60625,60640;41.970000;-87.690000
North Center;60613,60618,60657;41.950000;-87.680000
Lake View;60613,60657;41.943500;-87.654167
Lincoln Park;60614;41.920000;-87.650000
Near North Side;60611,60610,60654,60642;41.900000;-87.630000
Edison Park;60631;42.010000;-87.810000
Norwood Park;60631,60646,60656;41.980000;-87.800000
Jefferson Park;60630,60646;41.980000;-87.770000
Forest Glen;60630,60646;41.983333;-87.750000
North Park;60625,60646,60659;41.950000;-87.680000
Albany Park;60625,60630;41.970000;-87.720000
Portage Park;60630,60634,60641;41.950000;-87.760000
Irving Park;60618,60630,60641;41.950000;-87.730000
Dunning;60634,60635,60707;41.950000;-87.810000
Montclare;60634,60707;41.930000;-87.800000
Belmont Cragin;60634,60635,60639,60641;41.930000;-87.760000
Hermosa;60639,60641,60647;41.920000;-87.730000
Avondale;60618;41.940000;-87.710000
Logan Square;60614,60618,60622,60639,60647;41.928333;-87.706667
Humboldt Park;60622,60624,60647,60651;41.880000;-87.700000
West Town;60612,60622,60642,60647;41.900000;-87.680000
Austin;60644,60639,60651,60707;41.900000;-87.760000
West Garfield Park;60624;41.880000;-87.730000
East Garfield Park;60612,60624;41.880000;-87.700000
Near West Side;60606,60607,60608,60610,60612,60661;41.870000;-87.670000
North Lawndale;60608,60623,60624;41.860000;-87.710000
South Lawndale;60608,60623;41.850000;-87.710000
Lower West Side;60608,60616;41.850000;-87.660000
Chicago Loop;60601,60602,60603,60604,60605,60606,60607,60616;41.881944;-87.627778
Near South Side;60605,60607,60616;41.857778;-87.623889
Armour Square;60609,60616;41.833333;-87.633333
Douglas;60609,60616,60653;41.834722;-87.620556
Oakland;60653;41.820000;-87.600000
Fuller Park;60609;41.810000;-87.626667
Grand Boulevard;60609,60615,60653;41.810000;-87.620000
Kenwood;60615,60653;41.810000;-87.600000
Washington Park;60609,60615,60621,60637;41.790000;-87.620000
Hyde Park;60615,60637;41.800000;-87.590000
Woodlawn;60637;41.780000;-87.600000
South Shore;60649,60619,60637;41.760000;-87.580000
Chatham;60619,60620;41.740000;-87.611667
Avalon Park;60617,60619;41.750000;-87.590000
South Chicago;60617;41.740000;-87.550000
Burnside;60619;41.730000;-87.600000
Calumet Heights;60617,60619;41.728333;-87.579722
Roseland;60619,60620,60628;41.710000;-87.620000
Pullman;60628;41.710000;-87.620000
South Deering;60617,60633;41.689772;-87.559602
East Side;60617;41.706016;-87.535162
West Pullman;60628,60643;41.680000;-87.630000
Riverdale;60628,60633,60827;41.660000;-87.610000
Hegewisch;60633;41.660000;-87.550000
Garfield Ridge;60629,60632,60638;41.795769;-87.761040
Archer Heights;60632;41.810000;-87.730000
Brighton Park;60632;41.820000;-87.700000
McKinley Park;60608,60609;41.830000;-87.670000
Bridgeport;60608,60609,60616;41.837500;-87.647500
New City;60609;41.810000;-87.660000
West Elsdon;60629,60632;41.790000;-87.720000
Gage Park;60609,60629,60632,60636;41.790000;-87.690000
Clearing;60629,60638;41.780000;-87.760000
West Lawn;60629;41.780000;-87.760000
Chicago Lawn;60629,60636;41.770000;-87.690000
West Englewood;60636;41.775833;-87.664167
Englewood;60621;41.780000;-87.645000
Greater Grand Crossing;60619,60620,60621,60637;41.760000;-87.610000
Ashburn;60652;41.750000;-87.710000
Auburn Gresham;60620;41.740000;-87.660000
Beverly;60620,60643,60655;41.710000;-87.680000
Washington Heights;60620,60628,60643;41.703833;-87.653667
Mount Greenwood;60655;41.700000;-87.710000
Morgan Park;60643,60655;41.690000;-87.670000
O'Hare;60656,60666;42.000000;-87.920000
Edgewater;60660,60640;41.990000;-87.660000
