Zip;City;State;Latitude;Longitude;Timezone;Daylight savings time flag;geopoint
71937;Cove;AR;34.398.483;-9.439.398;-6;1;34.398483,-94.39398
72044;Edgemont;AR;35.624.351;-9.216.056;-6;1;35.624351,-92.16056
56171;Sherburn;MN;43.660.847;-9.474.357;-6;1;43.660847,-94.74357
49430;Lamont;MI;43.010.337;-8.589.754;-5;1;43.010337,-85.89754
52585;Richland;IA;41.194.129;-9.198.027;-6;1;41.194129,-91.98027
47520;Cannelton;IN;37.934.311;-8.667.821;-5;0;37.934311,-86.67821
49464;Zeeland;MI;42.829.252;-8.599.621;-5;1;42.829252,-85.99621
49919;Covington;MI;46.559.834;-8.852.201;-5;1;46.559834,-88.52201
52401;Cedar Rapids;IA;4.197.545;-9.165.912;-6;1;41.97545,-91.65912
35979;Higdon;AL;34.831.242;-8.561.564;-6;1;34.831242,-85.61564
36350;Midland City;AL;31.319.083;-8.548.718;-6;1;31.319083,-85.48718
38401;Columbia;TN;35.619.784;-8.703.565;-6;1;35.619784,-87.03565
41065;Muses Mills;KY;383.481;-83.718.626;-5;1;38.3481,-83.718626
55302;Annandale;MN;45.246.631;-9.411.692;-6;1;45.246631,-94.11692
29607;Greenville;SC;34.825.592;-8.234.099;-5;1;34.825592,-82.34099
31150;Atlanta;GA;33.844.371;-8.447.405;-5;1;33.844371,-84.47405
31646;Saint George;GA;30.518.903;-8.208.063;-5;1;30.518903,-82.08063
31826;Shiloh;GA;32.803.518;-8.469.384;-5;1;32.803518,-84.69384
17932;Frackville;PA;40.649.109;-76.503.339;-5;1;40.649109,-76.503339
18947;Pipersville;PA;40.426.391;-7.511.842;-5;1;40.426391,-75.11842
20227;Washington;DC;38.893.311;-77.014.647;-5;1;38.893311,-77.014647
14043;Depew;NY;42.904.958;-787.006;-5;1;42.904958,-78.7006
15278;Pittsburgh;PA;40.434.436;-80.024.817;-5;1;40.434436,-80.024817
15482;Star Junction;PA;40.062.849;-7.976.338;-5;1;40.062849,-79.76338
33446;Delray Beach;FL;26.452.473;-8.016.509;-5;1;26.452473,-80.16509
27915;Avon;NC;35.354.252;-7.550.417;-5;1;35.354252,-75.50417
23328;Chesapeake;VA;367.085;-76.278.531;-5;1;36.7085,-76.278531
24062;Blacksburg;VA;37.174.227;-80.395.698;-5;1;37.174227,-80.395698
26253;Beverly;WV;38.827.205;-7.989.057;-5;1;38.827205,-79.89057
2472;Watertown;MA;42.371.296;-7.118.196;-5;1;42.371296,-71.18196
7309;Jersey City;NJ;4.073.276;-74.075.485;-5;1;40.73276,-74.075485
